"","upNm","pgmNm","targetNm","price"
"95","동대문청소년수련관","아침수영C-상급(화목)","중.고등학생","32000"
"96","금천청소년수련관","매화A 상급","성인(25세이상)","51700"
"97","금천청소년수련관","매화A 상급","강습3+자유3 (구)","69300"
"98","금천청소년수련관","매화A 중급","성인(25세이상)","51700"
"99","금천청소년수련관","매화A 중급","강습3+자유3 (구)","69300"
"100","금천청소년수련관","매화A 초급","성인(25세이상)","51700"
"101","금천청소년수련관","매화A","초4~24세미만","41000"
"102","금천청소년수련관","매화A 초급","강습3+자유3 (구)","69300"
"103","금천청소년수련관","매화C연수-청소년","초.중.고","56000"
"104","금천청소년수련관","매화A(3+3)","초4~24세미만","60000"
"105","구로청소년수련관","19시 수영(월 수 금)-초급","중고생","34000"
"106","구로청소년수련관","비욘드스쿨","중고생","611000"
"107","금천청소년수련관","매화C(6회)","초4~24세미만","60000"
"108","금천청소년수련관","백합A","초4~24세미만","41000"
"109","금천청소년수련관","점핑하이(월수금)11시","초등~24세미만","50000"
"110","금천청소년수련관","백합C(5회)","초4~24세미만","56000"
"111","금천청소년수련관","백합C(6회)","초4~24세미만","60000"
"112","창동청소년센터","별솔-중식비","구분없음","4800"
"113","금천청소년수련관","난초A-청소년","주3회수영-청소년(구)","41000"
"114","금천청소년수련관","새벽B","초4~24세미만","36000"
"115","금천청소년수련관","새벽B(2+4)","초4~24세미만","56000"
"116","금천청소년수련관","새벽C(5회)","초4~24세미만","56000"
"117","금천청소년수련관","신나는 탁구교실(성인)","성인(25세이상)","77000"
"118","금천청소년수련관","새벽C(6회)","초4~24세미만","60000"
"119","금천청소년수련관","신나는 탁구교실(청소년)","24세미만","70000"
"120","중구청소년수련관","[방특]코딩수학","구분없음","45000"
"121","창동청소년센터","9/7 꿈을빚다Ⅰ-도예토B(7세~초등)","5세~12세","5000"
"122","시립수서청소년센터","1차방특[이경아]종합체육교실(초등생)-금10시","구분없음","17500"
"123","창동청소년센터","주판셈놀이C(7세~초등생)-EBS주산수리샘","4세~15세","30000"
"124","금천청소년수련관","단기속성(토)-12시","24세미만","37500"
"125","창동청소년센터","매듭공예 12/15B(초등)","5세~12세","10000"
"126","금천청소년수련관","물개A 상급-성인","성인여성(구)","51700"
"127","시립성북청소년센터","민화 (성인)","성인남녀","30000"
"128","동대문청소년수련관","아침수영C-연수","청소년","70200"
"129","금천청소년수련관","단기속성(토)-12시","성인(25세이상)","55000"
"130","금천청소년수련관","매화C(6회)-청소년","초.중.고","60000"
"131","잠실청소년센터","키즈클라이밍C","유아6-7세","35000"
"132","마포청소년수련관","초등A-상급3(월수금16시)","초등학생","45000"
"133","마포청소년수련관","방특_초4 교과과학 실험교실 (화09시)","초4-초6","35000"
"134","시립목동청소년센터","8-7,8 개념수학-예비초2 (금) 01/03~01/17","초1","80000"
"135","시립수서청소년센터","수박놀이터 4차","청소년","25000"
"136","시립성북청소년센터","우쿨렐레&평일기타B","성인남녀","39000"
"137","시립성북청소년센터","우쿨렐레&평일기타B","청소년","35000"
"138","송파청소년수련관","방과후농구소수스킬트레이닝(목17시/초4~중등/체육관/12회)	","청소년(3개월)","120000"
"139","금천청소년수련관","실력향상 탁구교실(성인)","성인(25세이상)","55000"
"140","금천청소년수련관","실력향상 탁구교실(청소년)","24세미만","50000"
"141","광진청소년수련관","라인댄스(초급&중급)D","2개월","44000"
"142","동대문청소년수련관","어린이수영D-중급","초등생","32000"
"143","성동청소년센터","SNPE바른자세 척추운동B: 금20시30분","초등-성인","33000"
"144","","(단기특강)어린이 필라테스교실","유아-초등","40000"
"145","","배드민턴 교실","중등-성인","40000"
"146","창동청소년센터","바이올린A(초등생)-나만의레퍼토리1~2곡완성","구분없음","700000"
"147","창동청소년센터","바이올린첫걸음A(초등생)-기초마스터","구분없음","70000"
"148","시립성북청소년센터","맞춤형힐링상담 2형","구분없음","5000"
"149","동대문청소년수련관","단기속성4","구분없음","90000"
"150","창동청소년센터","9/7꿈을빚다Ⅰ-도예토A(7세~초등)","5세~12세","5000"
"151","성동청소년센터","밸리댄스(중급): 화목20시","초등-성인","42000"
"152","동대문청소년수련관","아침수영B-중급","청소년","70200"
"153","서대문청소년수련관","(레벨6)Prime Brick","레벨테스트","175000"
"154","서대문청소년수련관","(레벨7)Prime Master","레벨테스트","180000"
"155","잠실청소년센터","<겨울방특>K-pop댄스A","초등 고","52500"
"156","서대문청소년수련관","(레벨9)Prime 입시","중3~고등","150000"
"157","서대문청소년수련관","(원데이) 나뭇잎 퍼즐접시 만들기(도예)","성인","7000"
"158","서대문청소년수련관","(원데이) 포그니 울사 브로치","성인","7000"
"159","잠실청소년센터","<겨울방특>리코더A","초등 저","52500"
"160","창동청소년센터","9/8베이킹클래스-레몬마들렌(성인)","성인","5000"
"161","마포청소년수련관","아침A-중급(월수금06시)-4월분","성인","50400"
"162","서대문청소년수련관","바른자세운동 SNPE B","누구나","50000"
"163","서대문청소년수련관","바른자세운동 SNPE C","누구나","60000"
"164","마포청소년수련관","아침E-상급(월수금08시)-4월","성인","50400"
