"","comicName","comicSummary","comicGrade"
"116","피스메이커","서부극 액션 활극","9.68"
"117","다람쥐 란란","마이웨이 일상","9.87"
"118","CMYK","의식의 흐름 만화","9.17"
"119","죽탱이","MMA 격투 성장기","8.33"
"120","런어웨이","초능력자들의 이야기","9.81"
"121","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.85"
"122","미스터 신데렐라","신데렐라가 남자라면","9.79"
"123","마법사와 꼬마","운명일까?","9.84"
"124","용사·마왕·우주인","낙제 용사 이야기","9.85"
"125","백일몽화원","매력세계관 판타지","9.71"
"126","오늘의 난","오늘의 난, 난그림","9.44"
"127","와더풀하우스 신혼생활","갑자기 결혼하기!","9.49"
"128","푸들가족","독립한 반려동물","9.57"
"129","옆집에 그녀가 산다","옆집의 특별한그녀!","9.55"
"130","좀비탈출록 좀순","좀비 탈출 시트콤","9.40"
"131","캠퍼S파이","마법학교 산업스파이","9.80"
"132","도개걸윷모","구해야한다.","9.58"
"133","오늘의 후기","매일 살아가는 후기","9.77"
"134","뱀파이어의 연금술","연금술사와 뱀파이어","9.71"
"135","무적!호랑권!","권법, 친구, 일상","9.64"
"136","다시 한 번 리유스!","두번째 청춘","9.72"
"137","둘이서 아싸 라이프","아싸로 살아가자","9.55"
"138","나의 카이생활","카이스트 일상툰","9.68"
"139","여대생존기","재수후 들어간 여대","9.88"
"140","시나브로","모르는사이에 조금씩","9.84"
"141","유아독존","주인공의 성장극","6.70"
"142","만렙 할배","할아버지 판타지","9.76"
"143","21세기 밴드 (21C BAND)","음악과 사랑 이야기","7.61"
"144","연은 그려낸다","초능력 두뇌싸움","9.69"
"145","블러드문","로맨스 판타지","9.73"
"146","휴르르의 개그만화 (러시아워)","해외창업개그만화","9.90"
"147","뭐, 좀 느리면 어때","어른이 일기","9.48"
"148","곰팡남녀","보통의 경계","9.90"
"149","헤이쟝","고양이 쟝의 일상","9.79"
"150","국밥소녀","국밥에 미친 소녀","9.38"
"151","THE","자신을 찾을 이야기","9.81"
"152","가수마왕","노래 부르는 마왕","9.35"
"153","우당탕탕 휘삐 생존기","n잡러 한국어 선생","9.84"
"154","시카 단편선","여러가지 단편들","9.86"
"155","일월의 선화","판타지","9.80"
"156","도둑잡기","학교에 도둑이 있다","9.47"
"157","난봉꾼의 메타픽스","장르를 지켜라","9.76"
"158","누루누루 음식만화","음식 탐닉 일상툰","9.92"
"159","신령의 아이","딸 바보 신령님","9.66"
"160","핫캣일기","느긋한 열정 고양이","9.81"
"161","킬링타임","일상 블랙코미디","9.85"
"162","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.84"
"163","교수도 사람이다","교수도 사람입니다","9.79"
"164","별이도령","저승왕 아들 이야기","9.62"
"165","제제와 함께","장애아이와 형제","9.79"
"166","사자머리와호깜대","뻔뻔한 냥이들의일상","9.74"
"167","질주","초능력 판타지","9.83"
"168","고로나 바이러스","썩은 연애 구출기","8.78"
"169","난편하다","주인공의 성장스토리","9.69"
"170","모두의 단편선","모두가함께하는웹툰","9.85"
"171","드라코 하트 (Drache Heart)","몬스터 레벨업스토리","8.73"
"172","로판도 식후경","밥 먹고 합시다!","9.89"
"173","아타나시아","마법과 불사","9.72"
"174","신과 인간","신과 인간의 이야기","9.89"
"175","예열온도 300도","2009년 정복기","8.14"
"176","내일은 낯선 행성을 걷는다","밤 9시의 산책","9.81"
"177","소심인사회","소심인사회","9.88"
